date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:41:29	74384/74384	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Jul%202024%2022:41:33%20GMT	https://www.wikirafa.com/marcopedia	C:/My%20Web%20Sites/WikiRafa/www.wikirafa.com/marcopedia.html	(from https://www.wikirafa.com/)
00:41:30	67513/67513	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Jul%202024%2022:41:33%20GMT	https://www.wikirafa.com/otros-proyectos	C:/My%20Web%20Sites/WikiRafa/www.wikirafa.com/otros-proyectos.html	(from https://www.wikirafa.com/)
00:41:30	14349/14349	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	date:Tue,%2016%20Jul%202024%2022:41:34%20GMT	https://www.wikirafa.com/filosof%c3%ada/la-verdad	C:/My%20Web%20Sites/WikiRafa/www.wikirafa.com/filosof%c3%ada/la-verdad.html	(from https://www.wikirafa.com/)
00:41:31	71819/71819	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Jul%202024%2022:41:34%20GMT	https://www.wikirafa.com/proyecto-wikirafa/desarrolladores-y-colaboradores	C:/My%20Web%20Sites/WikiRafa/www.wikirafa.com/proyecto-wikirafa/desarrolladores-y-colaboradores.html	(from https://www.wikirafa.com/)
00:41:31	76898/76898	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Jul%202024%2022:41:34%20GMT	https://www.wikirafa.com/proyecto-wikirafa/parches	C:/My%20Web%20Sites/WikiRafa/www.wikirafa.com/proyecto-wikirafa/parches.html	(from https://www.wikirafa.com/)
00:41:31	583/583	---M--	200	added ('OK')	image/png	date:Thu,%2020%20Jul%202023%2022:48:00%20GMT	https://ssl.gstatic.com/atari/images/sociallinks/instagram_white_28dp.png	C:/My%20Web%20Sites/WikiRafa/ssl.gstatic.com/atari/images/sociallinks/instagram_white_28dp.png	(from https://www.wikirafa.com/)
00:41:31	310/310	---M--	200	added ('OK')	image/png	date:Thu,%2020%20Jul%202023%2022:48:00%20GMT	https://ssl.gstatic.com/atari/images/sociallinks/youtube_white_28dp.png	C:/My%20Web%20Sites/WikiRafa/ssl.gstatic.com/atari/images/sociallinks/youtube_white_28dp.png	(from https://www.wikirafa.com/)
00:41:32	425/425	---M--	200	added ('OK')	image/png	date:Tue,%2027%20Jun%202023%2004:48:00%20GMT	https://ssl.gstatic.com/atari/images/sociallinks/facebook_white_28dp.png	C:/My%20Web%20Sites/WikiRafa/ssl.gstatic.com/atari/images/sociallinks/facebook_white_28dp.png	(from https://www.wikirafa.com/)
00:41:32	502/502	---M--	200	added ('OK')	image/png	date:Fri,%2030%20Jun%202023%2018:58:00%20GMT	https://ssl.gstatic.com/atari/images/sociallinks/github_white_28dp.png	C:/My%20Web%20Sites/WikiRafa/ssl.gstatic.com/atari/images/sociallinks/github_white_28dp.png	(from https://www.wikirafa.com/)
00:41:33	70378/70378	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Jul%202024%2022:41:36%20GMT	https://www.wikirafa.com/proyecto-wikirafa/licencia	C:/My%20Web%20Sites/WikiRafa/www.wikirafa.com/proyecto-wikirafa/licencia.html	(from https://www.wikirafa.com/)
00:41:33	72574/72574	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Jul%202024%2022:41:36%20GMT	https://www.wikirafa.com/tienda-online/camisetas-wikirafa	C:/My%20Web%20Sites/WikiRafa/www.wikirafa.com/tienda-online/camisetas-wikirafa.html	(from https://www.wikirafa.com/tienda-online)
00:41:34	64179/64179	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Jul%202024%2022:41:37%20GMT	https://www.wikirafa.com/tienda-online/agotado	C:/My%20Web%20Sites/WikiRafa/www.wikirafa.com/tienda-online/agotado.html	(from https://www.wikirafa.com/tienda-online)
00:41:34	64763/64763	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Jul%202024%2022:41:37%20GMT	https://www.wikirafa.com/tienda-online/iphon-of-agotado	C:/My%20Web%20Sites/WikiRafa/www.wikirafa.com/tienda-online/iphon-of-agotado.html	(from https://www.wikirafa.com/tienda-online)
